Index #,Order ID,Year,Order Date,Ship Mode,Customer ID,Customer Name,Segment,Country,State,Category,Sub-Category,Sales,Quantity,Discount,Profit,P_ID,Product_Name,Region
1,CA-2013-152156,2013,11/9/2013,Second Class,CG-12520,Claire Gute,Consumer,Bangladesh,Gaibandha,Furniture,Bookcases,261.96,2,0,41.9136,P-0001,ITEM-0001,Northern
2,CA-2013-152156,2013,11/9/2013,Second Class,CG-12520,Claire Gute,Consumer,Bangladesh,Gaibandha,Furniture,Chairs,731.94,3,0,219.582,P-0002,ITEM-0002,Northern
3,CA-2013-138688,2013,6/13/2013,Second Class,DV-13045,Darrin Van Huff,Corporate,Bangladesh,Noakhali,Office Supplies,Labels,14.62,2,0,6.8714,P-0003,ITEM-0003,Eastern
4,US-2012-108966,2012,10/11/2012,Standard Class,SO-20335,Sean O'Donnell,Consumer,Bangladesh,Narayanganj,Furniture,Tables,957.5775,5,0.45,-383.031,P-0004,ITEM-0004,Central
6,CA-2011-115812,2011,6/9/2011,Standard Class,BH-11710,Brosina Hoffman,Consumer,Bangladesh,Noakhali,Furniture,Furnishings,48.86,7,0,14.1694,P-0006,ITEM-0006,Eastern
5,US-2012-108966,2012,10/11/2012,Standard Class,SO-20335,Sean O'Donnell,Consumer,Bangladesh,Narayanganj,Office Supplies,Storage,22.368,2,0.2,2.5164,P-0005,ITEM-0005,Central
7,CA-2011-115812,2011,6/9/2011,Standard Class,BH-11710,Brosina Hoffman,Consumer,Bangladesh,Noakhali,Office Supplies,Art,7.28,4,0,1.9656,P-0007,ITEM-0007,Eastern
8,CA-2011-115812,2011,6/9/2011,Standard Class,BH-11710,Brosina Hoffman,Consumer,Bangladesh,Noakhali,Technology,Phones,907.152,6,0.2,90.7152,P-0008,ITEM-0008,Eastern
9,CA-2011-115812,2011,6/9/2011,Standard Class,BH-11710,Brosina Hoffman,Consumer,Bangladesh,Noakhali,Office Supplies,Binders,18.504,3,0.2,5.7825,P-0009,ITEM-0009,Eastern
10,CA-2011-115812,2011,6/9/2011,Standard Class,BH-11710,Brosina Hoffman,Consumer,Bangladesh,Noakhali,Office Supplies,Appliances,114.9,5,0,34.47,P-0010,ITEM-0010,Eastern
11,CA-2011-115812,2011,6/9/2011,Standard Class,BH-11710,Brosina Hoffman,Consumer,Bangladesh,Noakhali,Furniture,Tables,1706.184,9,0.2,85.3092,P-0011,ITEM-0011,Eastern
12,CA-2011-115812,2011,6/9/2011,Standard Class,BH-11710,Brosina Hoffman,Consumer,Bangladesh,Noakhali,Technology,Phones,911.424,4,0.2,68.3568,P-0012,ITEM-0012,Eastern
19,CA-2011-143336,2011,8/27/2011,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,Bangladesh,Noakhali,Office Supplies,Art,8.56,2,0,2.4824,P-0019,ITEM-0019,Eastern
20,CA-2011-143336,2011,8/27/2011,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,Bangladesh,Noakhali,Technology,Phones,213.48,3,0.2,16.011,P-0020,ITEM-0020,Eastern
13,CA-2014-114412,2014,4/16/2014,Standard Class,AA-10480,Andrew Allen,Consumer,Bangladesh,Meherpur,Office Supplies,Paper,15.552,3,0.2,5.4432,P-0013,ITEM-0013,Southern
21,CA-2011-143336,2011,8/27/2011,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,Bangladesh,Noakhali,Office Supplies,Binders,22.72,4,0.2,7.384,P-0021,ITEM-0021,Eastern
14,CA-2013-161389,2013,12/6/2013,Standard Class,IM-15070,Irene Maddox,Consumer,Bangladesh,Rangamati,Office Supplies,Binders,407.976,3,0.2,132.5922,P-0014,ITEM-0014,Eastern
26,CA-2013-121755,2013,1/16/2013,Second Class,EH-13945,Eric Hoffmann,Consumer,Bangladesh,Noakhali,Office Supplies,Binders,11.648,2,0.2,4.2224,P-0025,ITEM-0025,Eastern
15,US-2012-118983,2012,11/22/2012,Standard Class,HP-14815,Harold Pawlan,Home Office,Bangladesh,Rajshahi,Office Supplies,Appliances,68.81,5,0.8,-123.858,P-0015,ITEM-0015,Northern
27,CA-2013-121755,2013,1/16/2013,Second Class,EH-13945,Eric Hoffmann,Consumer,Bangladesh,Noakhali,Technology,Accessories,90.57,3,0,11.7741,P-0026,ITEM-0026,Eastern
16,US-2012-118983,2012,11/22/2012,Standard Class,HP-14815,Harold Pawlan,Home Office,Bangladesh,Rajshahi,Office Supplies,Binders,2.544,3,0.8,-3.816,P-0016,ITEM-0016,Northern
43,CA-2013-101343,2013,7/18/2013,Standard Class,RA-19885,Ruben Ausman,Corporate,Bangladesh,Noakhali,Office Supplies,Storage,77.88,2,0,3.894,P-0042,ITEM-0042,Eastern
17,CA-2011-105893,2011,11/11/2011,Standard Class,PK-19075,Pete Kriz,Consumer,Bangladesh,Bandarban,Office Supplies,Storage,665.88,6,0,13.3176,P-0017,ITEM-0017,Eastern
63,CA-2012-135545,2012,11/24/2012,Standard Class,KM-16720,Kunst Miller,Consumer,Bangladesh,Noakhali,Technology,Accessories,13.98,2,0,6.1512,P-0061,ITEM-0061,Eastern
18,CA-2011-167164,2011,5/13/2011,Second Class,AG-10270,Alejandro Grove,Consumer,Bangladesh,Faridpur,Office Supplies,Storage,55.5,2,0,9.99,P-0018,ITEM-0018,Central
64,CA-2012-135545,2012,11/24/2012,Standard Class,KM-16720,Kunst Miller,Consumer,Bangladesh,Noakhali,Office Supplies,Binders,25.824,6,0.2,9.3612,P-0062,ITEM-0062,Eastern
65,CA-2012-135545,2012,11/24/2012,Standard Class,KM-16720,Kunst Miller,Consumer,Bangladesh,Noakhali,Office Supplies,Paper,146.73,3,0,68.9631,P-0063,ITEM-0063,Eastern
22,CA-2013-137330,2013,12/10/2013,Standard Class,KB-16585,Ken Black,Corporate,Bangladesh,Tangail,Office Supplies,Art,19.46,7,0,5.0596,P-0022,ITEM-0022,Central
44,CA-2014-139619,2014,9/20/2014,Standard Class,ES-14080,Erin Smith,Corporate,Bangladesh,Narayanganj,Office Supplies,Storage,95.616,2,0.2,9.5616,P-0043,ITEM-0043,Central
23,CA-2013-137330,2013,12/10/2013,Standard Class,KB-16585,Ken Black,Corporate,Bangladesh,Tangail,Office Supplies,Appliances,60.34,7,0,15.6884,P-0023,ITEM-0023,Central
50,CA-2012-115742,2012,4/18/2012,Standard Class,DP-13000,Darren Powers,Consumer,Bangladesh,Patuakhali,Office Supplies,Binders,38.22,6,0,17.9634,P-0049,ITEM-0049,Southern
24,US-2014-156909,2014,7/17/2014,Second Class,SF-20065,Sandra Flanagan,Consumer,Bangladesh,Panchagarh,Furniture,Chairs,71.372,2,0.3,-1.0196,P-0024,ITEM-0024,Northern
51,CA-2012-115742,2012,4/18/2012,Standard Class,DP-13000,Darren Powers,Consumer,Bangladesh,Patuakhali,Office Supplies,Labels,75.18,6,0,35.3346,P-0050,ITEM-0050,Southern
25,CA-2012-106320,2012,9/25/2012,Standard Class,EB-13870,Emily Burns,Consumer,Bangladesh,Faridpur,Furniture,Tables,1044.63,3,0,240.2649,P-0004,ITEM-0004,Central
52,CA-2012-115742,2012,4/18/2012,Standard Class,DP-13000,Darren Powers,Consumer,Bangladesh,Patuakhali,Furniture,Furnishings,6.16,2,0,2.9568,P-0051,ITEM-0051,Southern
53,CA-2012-115742,2012,4/18/2012,Standard Class,DP-13000,Darren Powers,Consumer,Bangladesh,Patuakhali,Furniture,Chairs,89.99,1,0,17.0981,P-0052,ITEM-0052,Southern
48,CA-2013-169194,2013,6/21/2013,Standard Class,LH-16900,Lena Hernandez,Consumer,Bangladesh,Jhenaidah,Technology,Accessories,45,3,0,4.95,P-0047,ITEM-0047,Southern
28,US-2012-150630,2012,9/17/2012,Standard Class,TB-21520,Tracy Blumstein,Consumer,Bangladesh,Panchagarh,Furniture,Bookcases,3083.43,7,0.5,-1665.0522,P-0027,ITEM-0027,Northern
49,CA-2013-169194,2013,6/21/2013,Standard Class,LH-16900,Lena Hernandez,Consumer,Bangladesh,Jhenaidah,Technology,Phones,21.8,2,0,6.104,P-0048,ITEM-0048,Southern
29,US-2012-150630,2012,9/17/2012,Standard Class,TB-21520,Tracy Blumstein,Consumer,Bangladesh,Panchagarh,Office Supplies,Binders,9.618,2,0.7,-7.0532,P-0028,ITEM-0028,Northern
30,US-2012-150630,2012,9/17/2012,Standard Class,TB-21520,Tracy Blumstein,Consumer,Bangladesh,Panchagarh,Furniture,Furnishings,124.2,3,0.2,15.525,P-0029,ITEM-0029,Northern
31,US-2012-150630,2012,9/17/2012,Standard Class,TB-21520,Tracy Blumstein,Consumer,Bangladesh,Panchagarh,Office Supplies,Envelopes,3.264,2,0.2,1.1016,P-0030,ITEM-0030,Northern
32,US-2012-150630,2012,9/17/2012,Standard Class,TB-21520,Tracy Blumstein,Consumer,Bangladesh,Panchagarh,Office Supplies,Art,86.304,6,0.2,9.7092,P-0031,ITEM-0031,Northern
33,US-2012-150630,2012,9/17/2012,Standard Class,TB-21520,Tracy Blumstein,Consumer,Bangladesh,Panchagarh,Office Supplies,Binders,6.858,6,0.7,-5.715,P-0032,ITEM-0032,Northern
35,CA-2014-107727,2014,10/20/2014,Second Class,MA-17560,Matt Abelman,Home Office,Bangladesh,Rajshahi,Office Supplies,Paper,29.472,3,0.2,9.9468,P-0034,ITEM-0034,Northern
34,US-2012-150630,2012,9/17/2012,Standard Class,TB-21520,Tracy Blumstein,Consumer,Bangladesh,Panchagarh,Office Supplies,Art,15.76,2,0.2,3.546,P-0033,ITEM-0033,Northern
36,CA-2013-117590,2013,12/9/2013,First Class,GH-14485,Gene Hale,Corporate,Bangladesh,Rajshahi,Technology,Phones,1097.544,7,0.2,123.4737,P-0035,ITEM-0035,Northern
37,CA-2013-117590,2013,12/9/2013,First Class,GH-14485,Gene Hale,Corporate,Bangladesh,Rajshahi,Furniture,Furnishings,190.92,5,0.6,-147.963,P-0036,ITEM-0036,Northern
38,CA-2012-117415,2012,12/27/2012,Standard Class,SN-20710,Steve Nguyen,Home Office,Bangladesh,Rajshahi,Office Supplies,Envelopes,113.328,9,0.2,35.415,P-0037,ITEM-0037,Northern
39,CA-2012-117415,2012,12/27/2012,Standard Class,SN-20710,Steve Nguyen,Home Office,Bangladesh,Rajshahi,Furniture,Bookcases,532.3992,3,0.32,-46.9764,P-0038,ITEM-0038,Northern
40,CA-2012-117415,2012,12/27/2012,Standard Class,SN-20710,Steve Nguyen,Home Office,Bangladesh,Rajshahi,Furniture,Chairs,212.058,3,0.3,-15.147,P-0039,ITEM-0039,Northern
41,CA-2012-117415,2012,12/27/2012,Standard Class,SN-20710,Steve Nguyen,Home Office,Bangladesh,Rajshahi,Technology,Phones,371.168,4,0.2,41.7564,P-0040,ITEM-0040,Northern
42,CA-2014-120999,2014,9/11/2014,Standard Class,LC-16930,Linda Cazamias,Corporate,Bangladesh,Rajbari,Technology,Phones,147.168,4,0.2,16.5564,P-0041,ITEM-0041,Central
45,CA-2013-118255,2013,3/12/2013,First Class,ON-18715,Odella Nelson,Corporate,Bangladesh,Sylhet,Technology,Accessories,45.98,2,0,19.7714,P-0044,ITEM-0044,Eastern
47,CA-2011-146703,2011,10/20/2011,Second Class,PO-18865,Patrick O'Donnell,Consumer,Bangladesh,Kishoreganj,Office Supplies,Storage,211.96,4,0,8.4784,P-0046,ITEM-0046,Central
46,CA-2013-118255,2013,3/12/2013,First Class,ON-18715,Odella Nelson,Corporate,Bangladesh,Sylhet,Office Supplies,Binders,17.46,2,0,8.2062,P-0045,ITEM-0045,Eastern
54,CA-2013-105816,2013,12/12/2013,Standard Class,JM-15265,Janet Molinari,Corporate,Bangladesh,Bogura,Office Supplies,Fasteners,15.26,7,0,6.2566,P-0053,ITEM-0053,Northern
55,CA-2013-105816,2013,12/12/2013,Standard Class,JM-15265,Janet Molinari,Corporate,Bangladesh,Bogura,Technology,Phones,1029.95,5,0,298.6855,P-0054,ITEM-0054,Northern
56,CA-2013-111682,2013,6/18/2013,First Class,TB-21055,Ted Butterfield,Consumer,Bangladesh,Bogura,Office Supplies,Storage,208.56,6,0,52.14,P-0055,ITEM-0055,Northern
57,CA-2013-111682,2013,6/18/2013,First Class,TB-21055,Ted Butterfield,Consumer,Bangladesh,Bogura,Office Supplies,Paper,32.4,5,0,15.552,P-0056,ITEM-0056,Northern
58,CA-2013-111682,2013,6/18/2013,First Class,TB-21055,Ted Butterfield,Consumer,Bangladesh,Bogura,Furniture,Chairs,319.41,5,0.1,7.098,P-0057,ITEM-0057,Northern
59,CA-2013-111682,2013,6/18/2013,First Class,TB-21055,Ted Butterfield,Consumer,Bangladesh,Bogura,Office Supplies,Paper,14.56,2,0,6.9888,P-0058,ITEM-0058,Northern
60,CA-2013-111682,2013,6/18/2013,First Class,TB-21055,Ted Butterfield,Consumer,Bangladesh,Bogura,Technology,Accessories,30,2,0,3.3,P-0047,ITEM-0047,Northern
61,CA-2013-111682,2013,6/18/2013,First Class,TB-21055,Ted Butterfield,Consumer,Bangladesh,Bogura,Office Supplies,Binders,48.48,4,0.2,16.362,P-0059,ITEM-0059,Northern
62,CA-2013-111682,2013,6/18/2013,First Class,TB-21055,Ted Butterfield,Consumer,Bangladesh,Bogura,Office Supplies,Art,1.68,1,0,0.84,P-0060,ITEM-0060,Northern
66,CA-2012-135545,2012,11/24/2012,Standard Class,KM-16720,Kunst Miller,Consumer,Bangladesh,Noakhali,Furniture,Furnishings,79.76,4,0,22.3328,P-0064,ITEM-0064,Eastern
